Cancer type,Gene symbol,Uniprot ID,Differential expression status_up,Differential expression status_down,The number of tumor types_pccup,oncogene_x,COSMIC_CGC_x,Number of tumor types (PCDGs),oncogene_y,COSMIC_CGC_y,The number of tumor types_pccdp,Number of tumor types (PCCDPs),Risk coefficient
COAD,A1BG,P04217,,Down,,,,,,,,,
PAAD,A1CF,Q9NQ94,,Down,,,,,,,,,
BRCA,A2M,P01023,,Down,,,,,,,,,
COAD,A2M,P01023,,Down,,,,,,,,,
ESCC,A2M,P01023,,Down,,,,,,,,,
HNSC,A2M,P01023,,Down,,,,,,,,,
LIHC,A2M,P01023,,Down,,,,,,,,,
LUAD,A2M,P01023,,Down,,,,,,,,,
LUSC,A2M,P01023,,Down,,,,,,,,,
HNSC,A2ML1,A8K2U0,,Down,,,,,,,,,
LUSC,A2ML1,A8K2U0,Up,,,,,,,,,,
PAAD,A2ML1,A8K2U0,Up,,,,,,,,,,
LUSC,A4GALT,Q9NPC4,Up,,,,,,,,,,
LUSC,AAAS,Q9NRG9,Up,,,,,,,,,,
GBM,AACS,Q86V21,,Down,,,,,,,,,
LIHC,AACS,Q86V21,Up,,,,,,,,,,
LUAD,AACS,Q86V21,Up,,,,,,,,,,
LUSC,AACS,Q86V21,Up,,,,,,,,,,
UCEC,AACS,Q86V21,Up,,,,,,,,,,
HNSC,AADAC,P22760,,Down,,,,,,,,,
LIHC,AADAC,P22760,,Down,,,,,,,,,
LUAD,AADAC,P22760,,Down,,,,,,,,,
PAAD,AADAC,P22760,,Down,,,,,,,,,
STAD,AADAC,P22760,,Down,,,,,,,,,
KIRC,AADAT,Q8N5Z0,,Down,,,,,,,,,
LIHC,AADAT,Q8N5Z0,,Down,,,,,,,,,
BRCA,AAGAB,Q6PD74,Up,,,,,,,,,,
LUSC,AAGAB,Q6PD74,Up,,,,,,,,,,
PAAD,AAGAB,Q6PD74,Up,,,,,,,,,,
UCEC,AAGAB,Q6PD74,Up,,,,,,,,,,
GBM,AAK1,Q2M2I8,,Down,,,,,,,,,
KIRC,AAK1,Q2M2I8,,Down,,,,,,,,,
LIHC,AAK1,Q2M2I8,Up,,,,,,,,,,
GBM,AAMDC,Q9H7C9,Up,,,,,,,,,,
LUSC,AAMDC,Q9H7C9,,Down,,,,,,,,,
LUSC,AAMP,Q13685,Up,,,,,,,,,,
GBM,AAR2,Q9Y312,Up,,,,,,,,,,
,AARS1,P49588,,,,,,,,,2.0,,
LIHC,AARS2,Q5JTZ9,Up,,,,,,,,,,
LUAD,AARSD1,Q9BTE6,Up,,,,,,,,,,
LUSC,AARSD1,Q9BTE6,Up,,,,,,,,,,
BRCA,AASS,Q9UDR5,,Down,,,,,,,,,
GBM,AASS,Q9UDR5,Up,,,,,,,,,,
HNSC,AASS,Q9UDR5,,Down,,,,,,,,,
KIRC,AASS,Q9UDR5,,Down,,,,,,,,,
LIHC,AASS,Q9UDR5,,Down,,,,,,,,,
OV,AASS,Q9UDR5,,Down,,,,,,,,,
PAAD,AASS,Q9UDR5,,Down,,,,,,,,,
UCEC,AASS,Q9UDR5,,Down,,,,,,,,,
BRCA,AATF,Q9NY61,Up,,,,,,,,,,
COAD,AATF,Q9NY61,Up,,,,,,,,,,
ESCC,AATF,Q9NY61,Up,,,,,,,,,,
GBM,AATF,Q9NY61,Up,,,,,,,,,,
LIHC,AATF,Q9NY61,Up,,,,,,,,,,
LUSC,AATF,Q9NY61,Up,,,,,,,,,,
GBM,AATK,Q6ZMQ8,,Down,,,,,,,,,
LUAD,AATK,Q6ZMQ8,,Down,,,,,,,,,
LUSC,AATK,Q6ZMQ8,,Down,,,,,,,,,
BRCA,ABAT,P80404,Up,,,,,,,,,,
GBM,ABAT,P80404,,Down,,,,,,,,,
KIRC,ABAT,P80404,,Down,,,,,,,,,
LIHC,ABAT,P80404,,Down,,,,,,,,,
PAAD,ABAT,P80404,,Down,,,,,,,,,
BRCA,ABCA12,Q86UK0,Up,,,,,,,,,,
LUSC,ABCA12,Q86UK0,Up,,,,,,,,,,
LUAD,ABCA3,Q99758,,Down,,,,,,,,,
LUSC,ABCA3,Q99758,,Down,,,,,,,,,
LIHC,ABCA6,Q8N139,,Down,,,,,,,,,
LUAD,ABCA6,Q8N139,,Down,,,,,,,,,
LUSC,ABCA6,Q8N139,,Down,,,,,,,,,
COAD,ABCA8,O94911,,Down,,,,8.0,No,,,,
ESCC,ABCA8,O94911,,Down,,,,8.0,No,,,,
HNSC,ABCA8,O94911,,Down,,,,8.0,No,,,,
LIHC,ABCA8,O94911,,Down,,,,8.0,No,,,,
LUAD,ABCA8,O94911,,Down,,,,8.0,No,,,,
LUSC,ABCA8,O94911,,Down,,,,8.0,No,,,,
OV,ABCA8,O94911,,Down,,,,8.0,No,,,,
UCEC,ABCA8,O94911,,Down,,,,8.0,No,,,,
ESCC,ABCA9,Q8IUA7,,Down,,,,,,,,,
COAD,ABCB1,P08183,,Down,,,,,,,,,
ESCC,ABCB1,P08183,,Down,,,,,,,,,
KIRC,ABCB1,P08183,,Down,,,,,,,,,
LUAD,ABCB1,P08183,,Down,,,,,,,,,
LUSC,ABCB1,P08183,,Down,,,,,,,,,
STAD,ABCB11,O95342,Up,,,,,,,,,,
KIRC,ABCB6,Q9NP58,Up,,,,,,,,,,
OV,ABCB6,Q9NP58,,Down,,,,,,,,,
GBM,ABCB9,Q9NP78,,Down,,,,,,,,,
COAD,ABCC1,P33527,Up,,,,,,,,,,
ESCC,ABCC1,P33527,Up,,,,,,,,,,
KIRC,ABCC1,P33527,Up,,,,,,,,,,
LUSC,ABCC1,P33527,Up,,,,,,,,,,
KIRC,ABCC12,Q96J65,Up,,,,,,,,,,
COAD,ABCC3,O15438,,Down,,,,,,,,,
KIRC,ABCC3,O15438,Up,,,,,,,,,,
LUAD,ABCC3,O15438,Up,,,,,,,,,,
LIHC,ABCC4,O15439,Up,,,,,,,,,,
GBM,ABCC5,O15440,,Down,,,,,,,,,
LIHC,ABCC5,O15440,Up,,,,,,,,,,
LUSC,ABCC5,O15440,Up,,,,,,,,,,
LIHC,ABCC6,O95255,,Down,,,,,,,,,
LUSC,ABCC6,O95255,,Down,,,,,,,,,
LIHC,ABCC9,O60706,,Down,,,,,,,,,
GBM,ABCD1,P33897,Up,,,,,,,,,,
HNSC,ABCD1,P33897,Up,,,,,,,,,,
KIRC,ABCD1,P33897,Up,,,,,,,,,,
LIHC,ABCD1,P33897,Up,,,,,,,,,,
BRCA,ABCD3,P28288,Up,,,,,,,,,,
ESCC,ABCD3,P28288,,Down,,,,,,,,,
KIRC,ABCD3,P28288,,Down,,,,,,,,,
LIHC,ABCD3,P28288,,Down,,,,,,,,,
LUSC,ABCD3,P28288,,Down,,,,,,,,,
COAD,ABCE1,P61221,Up,,,,,,,,,,
LUAD,ABCE1,P61221,Up,,,,,,,,,,
LUSC,ABCE1,P61221,Up,,,,,,,,,,
GBM,ABCF1,Q8NE71,Up,,,,,,,,,,
COAD,ABCF2,Q9UG63,Up,,,,,,,,,,
ESCC,ABCF2,Q9UG63,Up,,,,,,,,,,
LIHC,ABCF2,Q9UG63,Up,,,,,,,,,,
LUAD,ABCF2,Q9UG63,Up,,,,,,,,,,
LUSC,ABCF2,Q9UG63,Up,,,,,,,,,,
BRCA,ABCF3,Q9NUQ8,Up,,,,,,,,,,
ESCC,ABCF3,Q9NUQ8,Up,,,,,,,,,,
LUSC,ABCF3,Q9NUQ8,Up,,,,,,,,,,
KIRC,ABCG1,P45844,Up,,,,,,,,,,
PAAD,ABCG1,P45844,Up,,,,,,,,,,
UCEC,ABCG1,P45844,Up,,,,,,,,,,
LIHC,ABCG2,Q9UNQ0,,Down,,,,,,,,,
LUSC,ABCG2,Q9UNQ0,,Down,,,,,,,,,
LIHC,ABCG5,Q9H222,,Down,,,,,,,,,
LIHC,ABCG8,Q9H221,,Down,,,,,,,,,
KIRC,ABHD10,Q9NUJ1,,Down,,,,,,,,,
LUAD,ABHD11,Q8NFV4,Up,,,,,,,,,,
OV,ABHD11,Q8NFV4,Up,,,,,,,,,,
UCEC,ABHD11,Q8NFV4,Up,,,,,,,,,,
BRCA,ABHD12,Q8N2K0,Up,,,,,,,,,,
LIHC,ABHD12,Q8N2K0,Up,,,,,,,,,,
UCEC,ABHD12,Q8N2K0,Up,,,,,,,,,,
LIHC,ABHD13,Q7L211,,Down,,,,,,,,,
BRCA,ABHD14B,Q96IU4,,Down,,,,,,,,,
ESCC,ABHD14B,Q96IU4,,Down,,,,,,,,,
GBM,ABHD14B,Q96IU4,Up,,,,,,,,,,
HNSC,ABHD14B,Q96IU4,,Down,,,,,,,,,
KIRC,ABHD14B,Q96IU4,,Down,,,,,,,,,
LIHC,ABHD14B,Q96IU4,,Down,,,,,,,,,
LUSC,ABHD14B,Q96IU4,,Down,,,,,,,,,
LIHC,ABHD15,Q6UXT9,,Down,,,,,,,,,
BRCA,ABHD16A,O95870,Up,,,,,,,,,,
GBM,ABHD17A,Q96GS6,,Down,,,,,,,,,
PAAD,ABHD17C,Q6PCB6,Up,,,,,,,,,,
LIHC,ABHD2,P08910,,Down,,,,,,,,,
LUSC,ABHD2,P08910,,Down,,,,,,,,,
GBM,ABHD3,Q8WU67,Up,,,,,,,,,,
GBM,ABHD4,Q8TB40,Up,,,,,,,,,,
KIRC,ABHD4,Q8TB40,,Down,,,,,,,,,
BRCA,ABHD5,Q8WTS1,,Down,,,,,,,,,
COAD,ABHD5,Q8WTS1,,Down,,,,,,,,,
LUAD,ABHD5,Q8WTS1,,Down,,,,,,,,,
LUSC,ABHD5,Q8WTS1,,Down,,,,,,,,,
UCEC,ABHD5,Q8WTS1,Up,,,,,,,,,,
LIHC,ABHD6,Q9BV23,,Down,,,,,,,,,
LUAD,ABHD6,Q9BV23,,Down,,,,,,,,,
LUSC,ABHD6,Q9BV23,,Down,,,,,,,,,
LUSC,ABI2,Q9NYB9,,Down,,,,,,,,,
UCEC,ABI2,Q9NYB9,,Down,,,,,,,,,
COAD,ABI3,Q9P2A4,,Down,,,,,,,,,
KIRC,ABI3,Q9P2A4,Up,,,,,,,,,,
LUAD,ABI3,Q9P2A4,,Down,,,,,,,,,
LUSC,ABI3,Q9P2A4,,Down,,,,,,,,,
BRCA,ABI3BP,Q7Z7G0,,Down,,,,9.0,No,,,,
COAD,ABI3BP,Q7Z7G0,,Down,,,,9.0,No,,,,
ESCC,ABI3BP,Q7Z7G0,,Down,,,,9.0,No,,,,
HNSC,ABI3BP,Q7Z7G0,,Down,,,,9.0,No,,,,
KIRC,ABI3BP,Q7Z7G0,Up,,,,,9.0,No,,,,
LIHC,ABI3BP,Q7Z7G0,,Down,,,,9.0,No,,,,
LUAD,ABI3BP,Q7Z7G0,,Down,,,,9.0,No,,,,
LUSC,ABI3BP,Q7Z7G0,,Down,,,,9.0,No,,,,
OV,ABI3BP,Q7Z7G0,,Down,,,,9.0,No,,,,
UCEC,ABI3BP,Q7Z7G0,,Down,,,,9.0,No,,,,
ESCC,ABL1,P00519,,Down,,,,,,,,,
OV,ABL1,P00519,,Down,,,,,,,,,
UCEC,ABL1,P00519,,Down,,,,,,,,,
HNSC,ABL2,P42684,Up,,,,,,,,,,
KIRC,ABL2,P42684,Up,,,,,,,,,,
LIHC,ABL2,P42684,Up,,,,,,,,,,
BRCA,ABLIM1,O14639,,Down,,,,8.0,No,,,,
ESCC,ABLIM1,O14639,,Down,,,,8.0,No,,,,
GBM,ABLIM1,O14639,,Down,,,,8.0,No,,,,
HNSC,ABLIM1,O14639,,Down,,,,8.0,No,,,,
KIRC,ABLIM1,O14639,,Down,,,,8.0,No,,,,
LUAD,ABLIM1,O14639,,Down,,,,8.0,No,,,,
LUSC,ABLIM1,O14639,,Down,,,,8.0,No,,,,
OV,ABLIM1,O14639,,Down,,,,8.0,No,,,,
GBM,ABLIM2,Q6H8Q1,,Down,,,,,,,,,
HNSC,ABLIM2,Q6H8Q1,,Down,,,,,,,,,
BRCA,ABLIM3,O94929,,Down,,,,,,,,,
GBM,ABLIM3,O94929,,Down,,,,,,,,,
HNSC,ABLIM3,O94929,,Down,,,,,,,,,
KIRC,ABLIM3,O94929,Up,,,,,,,,,,
LIHC,ABLIM3,O94929,,Down,,,,,,,,,
LUAD,ABLIM3,O94929,,Down,,,,,,,,,
LUSC,ABLIM3,O94929,,Down,,,,,,,,,
PAAD,ABLIM3,O94929,Up,,,,,,,,,,
GBM,ABR,Q12979,,Down,,,,,,,,,
LUSC,ABR,Q12979,,Down,,,,,,,,,
OV,ABR,Q12979,,Down,,,,,,,,,
PAAD,ABR,Q12979,Up,,,,,,,,,,
LIHC,ABRACL,Q9P1F3,,Down,,,,,,,,,
LUSC,ABT1,Q9ULW3,Up,,,,,,,,,,
ESCC,ACAA1,P09110,,Down,,,,,,,,,
HNSC,ACAA1,P09110,,Down,,,,,,,,,
KIRC,ACAA1,P09110,,Down,,,,,,,,,
LIHC,ACAA1,P09110,,Down,,,,,,,,,
LUSC,ACAA1,P09110,,Down,,,,,,,,,
UCEC,ACAA1,P09110,Up,,,,,,,,,,
BRCA,ACAA2,P42765,,Down,,,,,,,,,
COAD,ACAA2,P42765,,Down,,,,,,,,,
HNSC,ACAA2,P42765,,Down,,,,,,,,,
LIHC,ACAA2,P42765,,Down,,,,,,,,,
LUAD,ACAA2,P42765,,Down,,,,,,,,,
LUSC,ACAA2,P42765,,Down,,,,,,,,,
UCEC,ACACA,Q13085,Up,,,,,,,,,,
BRCA,ACACB,O00763,,Down,,,,,,,,,
HNSC,ACACB,O00763,,Down,,,,,,,,,
LIHC,ACACB,O00763,,Down,,,,,,,,,
OV,ACACB,O00763,,Down,,,,,,,,,
PAAD,ACACB,O00763,,Down,,,,,,,,,
KIRC,ACAD10,Q6JQN1,,Down,,,,,,,,,
PAAD,ACAD10,Q6JQN1,,Down,,,,,,,,,
LIHC,ACAD11,Q709F0,,Down,,,,,,,,,
ESCC,ACAD8,Q9UKU7,,Down,,,,,,,,,
HNSC,ACAD8,Q9UKU7,,Down,,,,,,,,,
KIRC,ACAD8,Q9UKU7,,Down,,,,,,,,,
PAAD,ACAD8,Q9UKU7,,Down,,,,,,,,,
LUSC,ACAD9,Q9H845,Up,,,,,,,,,,
BRCA,ACADL,P28330,,Down,,,,,,,,,
LIHC,ACADL,P28330,,Down,,,,,,,,,
LUAD,ACADL,P28330,,Down,,,,,,,,,
LUSC,ACADL,P28330,,Down,,,,,,,,,
PAAD,ACADL,P28330,,Down,,,,,,,,,
BRCA,ACADM,P11310,,Down,,,,,,,,,
COAD,ACADM,P11310,,Down,,,,,,,,,
HNSC,ACADM,P11310,,Down,,,,,,,,,
KIRC,ACADM,P11310,,Down,,,,,,,,,
LIHC,ACADM,P11310,,Down,,,,,,,,,
STAD,ACADM,P11310,,Down,,,,,,,,,
BRCA,ACADS,P16219,,Down,,,,,,,,2.0,
COAD,ACADS,P16219,,Down,,,,,,,,2.0,
GBM,ACADS,,,,,,,,,,,,0.077326086877136
HNSC,ACADS,P16219,,Down,,,,,,,,2.0,
LIHC,ACADS,P16219,,Down,,,,,,,,2.0,-0.0403475769268051
LUSC,ACADS,P16219,,Down,,,,,,,,2.0,
PAAD,ACADS,P16219,,Down,,,,,,,,2.0,
STAD,ACADS,P16219,,Down,,,,,,,,2.0,
GBM,ACADSB,P45954,,Down,,,,,,,,,
HNSC,ACADSB,P45954,,Down,,,,,,,,,
KIRC,ACADSB,P45954,,Down,,,,,,,,,
LIHC,ACADSB,P45954,,Down,,,,,,,,,
OV,ACADSB,P45954,,Down,,,,,,,,,
PAAD,ACADSB,P45954,,Down,,,,,,,,,
STAD,ACADSB,P45954,,Down,,,,,,,,,
BRCA,ACADVL,P49748,,Down,,,,,,,,,
COAD,ACADVL,P49748,,Down,,,,,,,,,
ESCC,ACADVL,P49748,,Down,,,,,,,,,
HNSC,ACADVL,P49748,,Down,,,,,,,,,
LIHC,ACADVL,P49748,,Down,,,,,,,,,
PAAD,ACADVL,P49748,,Down,,,,,,,,,
STAD,ACADVL,P49748,,Down,,,,,,,,,
KIRC,ACAN,P16112,Up,,,,,,,,,,
STAD,ACAN,P16112,Up,,,,,,,,,,
PAAD,ACAP1,Q15027,Up,,,,,,,,,,
,ACAP2,Q15057,,,,,,,,,2.0,,
GBM,ACAP3,Q96P50,,Down,,,,,,,,,
BRCA,ACAT1,P24752,,Down,,,,10.0,No,,,,
COAD,ACAT1,P24752,,Down,,,,10.0,No,,,,
ESCC,ACAT1,P24752,,Down,,,,10.0,No,,,,
HNSC,ACAT1,P24752,,Down,,,,10.0,No,,,,
KIRC,ACAT1,P24752,,Down,,,,10.0,No,,,,
LIHC,ACAT1,P24752,,Down,,,,10.0,No,,,,
LUSC,ACAT1,P24752,,Down,,,,10.0,No,,,,
OV,ACAT1,P24752,,Down,,,,10.0,No,,,,
PAAD,ACAT1,P24752,,Down,,,,10.0,No,,,,
STAD,ACAT1,P24752,,Down,,,,10.0,No,,,,
LIHC,ACAT2,Q9BWD1,,Down,,,,,,,,,
OV,ACBD3,Q9H3P7,Up,,,,,,,,,,
LIHC,ACBD4,Q8NC06,,Down,,,,,,,,,
LUSC,ACBD4,Q8NC06,,Down,,,,,,,,,
KIRC,ACBD5,Q5T8D3,,Down,,,,,,,,,
OV,ACBD5,Q5T8D3,Up,,,,,,,,,,
PAAD,ACBD5,Q5T8D3,Up,,,,,,,,,,
LIHC,ACBD6,Q9BR61,Up,,,,,,,,,,
GBM,ACBD7,Q8N6N7,,Down,,,,,,,,,
OV,ACBD7,Q8N6N7,Up,,,,,,,,,,
UCEC,ACBD7,Q8N6N7,Up,,,,,,,,,,
ESCC,ACCS,Q96QU6,,Down,,,,,,,,,
LIHC,ACD,Q96AP0,Up,,,,,,,,,,
COAD,ACE,P12821,,Down,,,,,,,,,
LUAD,ACE,P12821,,Down,,,,,,,,,
LUSC,ACE,P12821,,Down,,,,,,,,,
ESCC,ACKR1,Q16570,,Down,,,,,,,,,
LUSC,ACKR1,Q16570,,Down,,,,,,,,,
LUSC,ACKR3,P25106,Up,,,,,,,,,,
COAD,ACLY,P53396,Up,,,,,,,,,,
ESCC,ACLY,P53396,Up,,,,,,,,,,
KIRC,ACLY,P53396,Up,,,,,,,,,,
LIHC,ACLY,P53396,Up,,,,,,,,,,
BRCA,ACO1,P21399,,Down,,,,,,,,,
KIRC,ACO1,P21399,,Down,,,,,,,,,
LIHC,ACO1,P21399,,Down,,,,,,,,,
OV,ACO1,P21399,,Down,,,,,,,,,
PAAD,ACO1,P21399,,Down,,,,,,,,,
STAD,ACO1,P21399,,Down,,,,,,,,,
COAD,ACO2,Q99798,,Down,,,,,,,,,
GBM,ACO2,Q99798,,Down,,,,,,,,,
HNSC,ACO2,Q99798,,Down,,,,,,,,,
STAD,ACO2,Q99798,,Down,,,,,,,,,
COAD,ACOT1,Q86TX2,,Down,,,,,,,,,
KIRC,ACOT1,Q86TX2,,Down,,,,,,,,,
LIHC,ACOT1,Q86TX2,,Down,,,,,,,,,
LUSC,ACOT1,Q86TX2,,Down,,,,,,,,,
ESCC,ACOT11,Q8WXI4,,Down,,,,,,,,,
KIRC,ACOT11,Q8WXI4,,Down,,,,,,,,,
LUAD,ACOT11,Q8WXI4,Up,,,,,,,,,,
LUSC,ACOT11,Q8WXI4,Up,,,,,,,,,,
PAAD,ACOT11,Q8WXI4,Up,,,,,,,,,,
LIHC,ACOT12,Q8WYK0,,Down,,,,,,,,,
COAD,ACOT2,P49753,,Down,,,,,,,,,
KIRC,ACOT2,P49753,,Down,,,,,,,,,
LIHC,ACOT2,P49753,,Down,,,,,,,,,
LUSC,ACOT2,P49753,,Down,,,,,,,,,
LUSC,ACOT4,Q8N9L9,,Down,,,,,,,,,
ESCC,ACOT7,O00154,Up,,,,,,,,,,
GBM,ACOT7,O00154,,Down,,,,,,,,,
HNSC,ACOT7,O00154,Up,,,,,,,,,,
LUSC,ACOT7,O00154,Up,,,,,,,,,,
OV,ACOT7,O00154,Up,,,,,,,,,,
PAAD,ACOT7,O00154,Up,,,,,,,,,,
BRCA,ACOT8,O14734,Up,,,,,,,,,,
UCEC,ACOT8,O14734,Up,,,,,,,,,,
COAD,ACOX1,Q15067,,Down,,,,,,,,,
ESCC,ACOX1,Q15067,,Down,,,,,,,,,
HNSC,ACOX1,Q15067,,Down,,,,,,,,,
KIRC,ACOX1,Q15067,,Down,,,,,,,,,
LIHC,ACOX1,Q15067,,Down,,,,,,,,,
ESCC,ACOX2,Q99424,,Down,,,,,,,,,
KIRC,ACOX2,Q99424,,Down,,,,,,,,,
LIHC,ACOX2,Q99424,,Down,,,,,,,,,
LUSC,ACOX2,Q99424,,Down,,,,,,,,,
UCEC,ACOX2,Q99424,,Down,,,,,,,,,
ESCC,ACOX3,O15254,,Down,,,,,,,,,
HNSC,ACOX3,O15254,,Down,,,,,,,,,
BRCA,ACP2,P11117,Up,,,,,,,,,,
HNSC,ACP5,P13686,Up,,,,,,,,,,
LUAD,ACP5,P13686,,Down,,,,,,,,,
LUSC,ACP5,P13686,,Down,,,,,,,,,
PAAD,ACP5,P13686,Up,,,,,,,,,,
HNSC,ACP6,Q9NPH0,,Down,,,,,,,,,
LUAD,ACP6,Q9NPH0,Up,,,,,,,,,,
COAD,ACSF2,Q96CM8,,Down,,,,,,,,,
KIRC,ACSF2,Q96CM8,,Down,,,,,,,,,
LUSC,ACSF2,Q96CM8,,Down,,,,,,,,,
STAD,ACSF2,Q96CM8,,Down,,,,,,,,,
UCEC,ACSF2,Q96CM8,Up,,,,,,,,,,
BRCA,ACSL1,P33121,,Down,,,,,,,,,
HNSC,ACSL1,P33121,,Down,,,,,,,,,
KIRC,ACSL1,P33121,,Down,,,,,,,,,
LIHC,ACSL1,P33121,,Down,,,,,,,,,
LUSC,ACSL1,P33121,,Down,,,,,,,,,
BRCA,ACSL4,O60488,,Down,,,,,,,,,
COAD,ACSL4,O60488,Up,,,,,,,,,,
KIRC,ACSL4,O60488,,Down,,,,,,,,,
LIHC,ACSL4,O60488,Up,,,,,,,,,,
LUSC,ACSL4,O60488,,Down,,,,,,,,,
PAAD,ACSL4,O60488,Up,,,,,,,,,,
LIHC,ACSL5,Q9ULC5,,Down,,,,,,,,,
LUSC,ACSL5,Q9ULC5,,Down,,,,,,,,,
LIHC,ACSM2A,Q08AH3,,Down,,,,,,,,,
LIHC,ACSM2B,Q68CK6,,Down,,,,,,,,,
KIRC,ACSM3,Q53FZ2,,Down,,,,,,,,,
LIHC,ACSM3,Q53FZ2,,Down,,,,,,,,,
LUSC,ACSM3,Q53FZ2,,Down,,,,,,,,,
PAAD,ACSM3,Q53FZ2,,Down,,,,,,,,,
BRCA,ACSM5,Q6NUN0,,Down,,,,,,,,,
LIHC,ACSM5,Q6NUN0,,Down,,,,,,,,,
BRCA,ACSS1,Q9NUB1,Up,,,,,,,,,,
GBM,ACSS1,Q9NUB1,,Down,,,,,,,,,
KIRC,ACSS1,Q9NUB1,,Down,,,,,,,,,
LIHC,ACSS1,Q9NUB1,Up,,,,,,,,,,
PAAD,ACSS1,Q9NUB1,,Down,,,,,,,,,
BRCA,ACSS2,Q9NR19,,Down,,,,,,,,,
COAD,ACSS2,Q9NR19,,Down,,,,,,,,,
ESCC,ACSS2,Q9NR19,,Down,,,,,,,,,
HNSC,ACSS2,Q9NR19,,Down,,,,,,,,,
LUSC,ACSS2,Q9NR19,,Down,,,,,,,,,
BRCA,ACSS3,Q9H6R3,,Down,,,,,,,,,
ESCC,ACSS3,Q9H6R3,,Down,,,,,,,,,
HNSC,ACSS3,Q9H6R3,,Down,,,,,,,,,
LUAD,ACSS3,Q9H6R3,,Down,,,,,,,,,
LUSC,ACSS3,Q9H6R3,,Down,,,,,,,,,
UCEC,ACSS3,Q9H6R3,,Down,,,,,,,,,
BRCA,ACTA1,P68133,,Down,,,,,,,,,
BRCA,ACTA2,P62736,,Down,,,,,,,,,
COAD,ACTA2,P62736,,Down,,,,,,,,,
ESCC,ACTA2,P62736,,Down,,,,,,,,,
HNSC,ACTA2,P62736,,Down,,,,,,,,,
LUSC,ACTA2,P62736,,Down,,,,,,,,,
OV,ACTA2,P62736,,Down,,,,,,,,,
UCEC,ACTA2,P62736,,Down,,,,,,,,,
STAD,ACTBL2,Q562R1,Up,,,,,,,,,,
OV,ACTC1,P68032,,Down,,,,,,,,,
BRCA,ACTG2,P63267,,Down,,,,,,,,,
ESCC,ACTG2,P63267,,Down,,,,,,,,,
HNSC,ACTG2,P63267,,Down,,,,,,,,,
LUAD,ACTG2,P63267,,Down,,,,,,,,,
LUSC,ACTG2,P63267,,Down,,,,,,,,,
OV,ACTG2,P63267,,Down,,,,,,,,,
UCEC,ACTG2,P63267,,Down,,,,,,,,,
COAD,ACTL6A,O96019,Up,,,,,,,,,,
GBM,ACTL6A,O96019,Up,,,,,,,,,,
LIHC,ACTL6A,O96019,Up,,,,,,,,,,
LUSC,ACTL6A,O96019,Up,,,,,,,,,,
OV,ACTL6A,O96019,Up,,,,,,,,,,
GBM,ACTL6B,O94805,,Down,,,,,,,,,
BRCA,ACTL8,Q9H568,Up,,,,,,,,,,
KIRC,ACTN1,P12814,Up,,,,,,,,,,
PAAD,ACTN1,P12814,Up,,,,,,,,,,
UCEC,ACTN1,P12814,,Down,,,,,,,,,
GBM,ACTN2,P35609,,Down,,,,,,,,,
HNSC,ACTN2,P35609,,Down,,,,,,,,,
LUAD,ACTN2,P35609,,Down,,,,,,,,,
LUSC,ACTN2,P35609,,Down,,,,,,,,,
OV,ACTN2,P35609,,Down,,,,,,,,,
COAD,ACTN3,Q08043,,Down,,,,,,,,,
GBM,ACTR1B,P42025,,Down,,,,,,,,,
PAAD,ACTR1B,P42025,,Down,,,,,,,,,
PAAD,ACTR3,P61158,Up,,,,,,,,,,
GBM,ACTR3B,Q9P1U1,,Down,,,,,,,,,
UCEC,ACTR3B,Q9P1U1,Up,,,,,,,,,,
GBM,ACTR8,Q9H981,Up,,,,,,,,,,
ESCC,ACVR1,Q04771,Up,,,,,,,,,,
HNSC,ACVR1,Q04771,Up,,,,,,,,,,
PAAD,ACVR1,Q04771,Up,,,,,,,,,,
ESCC,ACVR2A,P27037,,Down,,,,,,,,,
COAD,ACVRL1,P37023,,Down,,,,,,,,,
LUAD,ACVRL1,P37023,,Down,,,,,,,,,
LUSC,ACVRL1,P37023,,Down,,,,,,,,,
KIRC,ACY1,Q03154,,Down,,,,,,,,,
LIHC,ACY1,Q03154,,Down,,,,,,,,,
PAAD,ACY1,Q03154,Up,,,,,,,,,,
LIHC,ACY3,Q96HD9,,Down,,,,,,,,,
PAAD,ACY3,Q96HD9,,Down,,,,,,,,,
GBM,ACYP1,P07311,,Down,,,,,,,,,
HNSC,ACYP2,P14621,,Down,,,,,,,,,
LIHC,ACYP2,P14621,,Down,,,,,,,,,
HNSC,ADA,P00813,Up,,,,,,,,,,
KIRC,ADA,P00813,Up,,,,,,,,,,
LUSC,ADA,P00813,Up,,,,,,,,,,
STAD,ADA,P00813,,Down,,,,,,,,,
GBM,ADAM11,O75078,,Down,,,,,,,,,
LIHC,ADAM15,Q13444,Up,,,,,,,,,,
PAAD,ADAM15,Q13444,Up,,,,,,,,,,
ESCC,ADAM17,P78536,Up,,,,,,,,,,
GBM,ADAM17,P78536,Up,,,,,,,,,,
HNSC,ADAM17,P78536,Up,,,,,,,,,,
GBM,ADAM22,Q9P0K1,,Down,,,,,,,,,
PAAD,ADAM22,Q9P0K1,Up,,,,,,,,,,
GBM,ADAM23,O75077,,Down,,,,,,,,,
LUSC,ADAM23,O75077,Up,,,,,,,,,,
LUSC,ADAM28,Q9UKQ2,Up,,,,,,,,,,
PAAD,ADAM28,Q9UKQ2,Up,,,,,,,,,,
HNSC,ADAM8,P78325,Up,,,,,,,,,,
